flow_no,inter_pkt_arrival,duration,connection_status,land,no_of_wrong_frags,no_of_urgent,src_port,dst_port,src_ip,dst_ip,src_mac,dst_mac,src_bytes,dst_bytes,minfpktl,meanfpktl,maxfpktl,stdfpktl,minbpktl,meanbpktl,maxbpktl,stdbpktl,minfiat,meanfiat,maxfiat,stdfiat,minbiat,meanbiat,maxbiat,stdbiat,protocol,fpackets,bpackets
515,281551018.96129304,1126204075.845172000,0,0,3,0,45668,6881,192.168.20.106,186.206.254.235,0c:8b:fd:18:40:2f,00:60:64:ef:aa:ae,,,74,74.0,74,21904.0,999999,0,0,0,0.0,1.0745833333333332,2.213374,2.331841060031894,9999,0,0,0,eth:ethertype:ip:tcp,3,0
516,125133784.15499933,1126204057.394994000,0,0,8,0,34744,5871,192.168.20.106,41.73.107.102,0c:8b:fd:18:40:2f,00:60:64:ef:aa:ae,,,54,56.857142857142854,74,116427.42857142857,58,58.0,58,0.0,0.0,5.929585857142857,21.333377,36.29475893805799,0.439673,0.439673,0.439673,0.0,eth:ethertype:ip:tcp,7,1
517,281551021.649407,1126204086.597628000,0,0,3,0,35726,17144,192.168.20.106,62.152.0.152,0c:8b:fd:18:40:2f,00:60:64:ef:aa:ae,,,74,74.0,74,21904.0,999999,0,0,0,0.0,1.0320576666666668,2.080063,2.2319967788207045,9999,0,0,0,eth:ethertype:ip:tcp,3,0
518,281551006.4619165,1126204025.847666000,0,0,3,0,33606,25598,192.168.20.106,197.237.113.192,0c:8b:fd:18:40:2f,00:60:64:ef:aa:ae,,,74,74.0,74,21904.0,999999,0,0,0,0.0,1.0487133333333334,2.133384,2.2712110504157614,9999,0,0,0,eth:ethertype:ip:tcp,3,0
519,281551006.91243327,1126204027.649733000,0,0,3,0,34418,64293,192.168.20.106,185.93.182.252,0c:8b:fd:18:40:2f,00:60:64:ef:aa:ae,,,74,74.0,74,21904.0,999999,0,0,0,0.0,1.0093836666666667,2.026671,2.1817467017233385,9999,0,0,0,eth:ethertype:ip:tcp,3,0
520,112620409.93948641,1126204099.394864000,0,0,9,0,45318,64532,192.168.20.106,197.210.64.252,0c:8b:fd:18:40:2f,00:60:64:ef:aa:ae,,,54,56.857142857142854,74,116427.42857142857,58,58.0,58,3364.0,0.0,12.776960857142857,49.493297,78.58971374710852,0.53921,0.6673199999999999,0.79543,0.6795058163842307,eth:ethertype:ip:tcp,7,2
521,102382183.87699908,1126204022.646990000,0,0,10,0,48804,3122,192.168.20.106,197.253.66.34,0c:8b:fd:18:40:2f,00:60:64:ef:aa:ae,,,54,56.857142857142854,74,116427.42857142857,58,63.333333333333336,74,16101.333333333332,0.0,1.5740531428571427,6.61322,9.732256287572712,0.501484,0.5295133333333334,0.548687,1.059220489792061,eth:ethertype:ip:tcp,7,3
522,62566894.34146195,1126204098.146315000,0,0,17,0,39662,8503,192.168.20.106,197.253.66.228,0c:8b:fd:18:40:2f,00:60:64:ef:aa:ae,,,54,55.666666666666664,74,374982.6666666666,58,61.2,74,59968.0,0.0,4.916215333333334,30.220712,54.77969160383232,0.30931,0.401569,0.498976,1.6082309582646392,eth:ethertype:ip:tcp,12,5
523,375401362.19880325,1126204086.596410000,0,0,2,0,33590,36341,192.168.20.106,80.83.22.97,0c:8b:fd:18:40:2f,00:60:64:ef:aa:ae,,,74,74.0,74,0.0,54,54.0,54,0.0,0.0,0.0,0,0.0,0.39844,0.39844,0.39844,0.0,eth:ethertype:ip:tcp,1,1
524,281551019.9614765,1126204079.845906000,0,0,3,0,42106,41221,192.168.20.106,154.160.7.37,0c:8b:fd:18:40:2f,00:60:64:ef:aa:ae,,,74,74.0,74,21904.0,999999,0,0,0,0.0,1.0570346666666666,2.160008,2.2908404760477468,9999,0,0,0,eth:ethertype:ip:tcp,3,0
